m2_r,m2_u,m2_p,m1_r,m1_u,m1_p
76.4374,0,1,114.192,0,1
68.6795,0.00412979,2,82.8985,0.00482342,2
65.9999,0.00466275,3,76.6895,0.00305483,3
70.5096,0.00533801,4,75.1295,0.00412973,4
72.5424,0.00384402,5,74.3675,0.00473888,5
73.7375,0.00567439,6,74.2498,0.00494396,6
73.5351,0.00440158,7,77.4772,0.0067384,7
73.7921,0.0042834,8,79.3491,0.00752011,8
76.3606,0.00446171,9,75.6228,0.00838082,9
79.2504,0.00603917,10,72.8161,0.00971197,10
75.8193,0.00803935,11,44.5735,0.0116736,11
74.1508,0.00966858,12,47.397,0.0110356,12
